Qty;Value;Device;Package;Parts;Description;RS;RS_F;ADAFRUIT;ORDER
1;;JST-PH6;JST-PH6;PAS_A_PAS;;820-1447;820-1481;;NO
2;100;R-EU_R0805;R0805;R3, R7;RESISTOR, European symbol;;;;NO
1;100µF/50V;CPOL-EUE3.5-8;E3,5-8;C8;POLARIZED CAPACITOR, European symbol;;;;NO
13;10k;R-EU_R0805;R0805;LEVEL_SHIFTER1:R1, LEVEL_SHIFTER1:R2, LEVEL_SHIFTER2:R1, LEVEL_SHIFTER2:R2, LEVEL_SHIFTER3:R1, LEVEL_SHIFTER3:R2, LEVEL_SHIFTER4:R1, LEVEL_SHIFTER4:R2, LEVEL_SHIFTER5:R1, LEVEL_SHIFTER5:R2, R1, R2, R6;RESISTOR, European symbol;;;;NO
8;10µF/50V;C-EUC1210;C1210;C1, C2, C3, C4, C10, C11, C12, C13;CAPACITOR, European symbol;;;;YES
2;1µF;C-EUC0805;C0805;C14, C15;CAPACITOR, European symbol;;;;NO
2;220µF/25V;CPOL-EUE3.5-8;E3,5-8;C7, C9;POLARIZED CAPACITOR, European symbol;;;;NO
4;330;R-EU_R0805;R0805;R4, R5, R8, R9;RESISTOR, European symbol;;;;NO
1;A4988-BREAKOUT;A4988-BREAKOUT;A4988-BREAKOUT;S1;;;;;YES
1;ADAFRUIT_7-SEGMENT-LED;ADAFRUIT_7-SEGMENT-LED;"0.56LED_BACKPACK""";LED1;;;;879;YES
5;BSS138;BSS123;SOT23;LEVEL_SHIFTER1:Q1, LEVEL_SHIFTER2:Q1, LEVEL_SHIFTER3:Q1, LEVEL_SHIFTER4:Q1, LEVEL_SHIFTER5:Q1;N-CHANNEL MOS FET;669-7559;;;NO
1;DIODE_S15P45;DIODE_S15P45;TO-277A;D1;;917-9118;;;NO
2;DMN2056U;BSS123;SOT23;Q1, Q2;N-CHANNEL MOS FET;133-3376;;;YES
2;DYNAMIXEL-1X03AX;DYNAMIXEL-1X03AX;DYNAMIXEL_AX_1X03;AX12_AR, AX12_AV;;687-8124;;;
1;DYNAMIXEL-1X03XL;DYNAMIXEL-1X03XL;DYNAMIXEL_XL_1X03;FUMIGENE;;688-3283;;;
2;JST-03;JST-03;GH-03-V;ENDSTOP, JUMPER;;752-1765;752-1737;;
2;JST-04GH-V;JST-04GH-V;GH-04-V;ENCODEUR_DROIT, ENCODEUR_GAUCHE;;752-1769;752-1731;;
2;JST-05;JST-05;GH-05-V;PHARES_AR, PHARES_AV;;752-1778;752-1740;;
2;JST-08;JST-08;GH-08-V;TOF_AR, TOF_AV;;752-1775;752-1747;;
1;RG500;RGEF800;5MM;P1;;817-1680;;;
1;TL36PO;TL36PO;TL3XPO;S3;TINY SWITCH ON - ON;913-9069;;;
2;TSR 1-2450;R-78C5.0-1.0;SIP3;DC1, DC2;INNOLINE DC/DC-Converter 1.0 AMP SIP3 Single Output;666-4379;;;
1;TSR 2-24120;R-78C12-1.0;SIP3;DC4;INNOLINE DC/DC-Converter 1.0 AMP SIP3 Single Output;906-8493;;;
1;TSR 2-2450;R-78C5.0-1.0;SIP3;DC3;INNOLINE DC/DC-Converter 1.0 AMP SIP3 Single Output;906-8487;;;
1;WIZ820IO;WIZ820IO;WIZ820;U1;;758-1032;;;
1;blue;LEDSMT1206;1206;LED2;LED;692-1073;;;
1;orange;LED3MM;LED3MM;LED5;LED;127-8387;;;
1;orange;LEDSMT1206;1206;LED3;LED;726-9215;;;
1;red;LED3MM;LED3MM;LED4;LED;619-4886;;;
1;XT-60;XT-60;XT-60;CON1;;;;;
20;JST-GH cable;JST-GH cable;JST-GH cable;;;820-1393;;;
