Qty;Value;Device;Package;Parts;Description;ADAFRUIT;REF-FAB;REF-RS;RS;RS_AX;RS_F;RS_XL
1;;FE20-2;FE20-2;SV1;FEMALE HEADER;;;;;;;
1;;JST-PH6;JST-PH6;PAS_A_PAS;;;;;820-1447;;820-1481;
7;;PINHD-1X2;1X02;5V_LED, 5V_SMOKE, ALIM_AUX:OUTPUT, ALIM_AUX:POWER_INPUT, ALIM_RPI:OUTPUT, ALIM_RPI:POWER_INPUT, PWM;PIN HEADER;;;;;;;
2;;PINHD-1X3;1X03;12V_AX12, USB1;PIN HEADER;;;;;;;
1;;PINHD-1X3/90;1X03/90;VESC;PIN HEADER;;;;;;;
2;;PINHD-1X4;1X04;I2C, UART;PIN HEADER;;;;;;;
1;;PINHD-1X5;1X05;EXTRA1;PIN HEADER;;;;;;;
1;;PINHD-1X7;1X07;SPI;PIN HEADER;;;;;;;
2;;SJ;SJ;ALIM_AUX:SJ1, ALIM_RPI:SJ1;SMD solder JUMPER;;;;;;;
1;;SJ2W;SJ_2;SJ1;SMD solder JUMPER;;;;;;;
1;05-JST-B5B-XH-A;05-JST-B5B-XH-A;B5B-XH;LIDAR;JST CONNECTOR;;;;;;;
1;0R-JUMPA;0R-JUMPA;A0R-JMP;JMP1;SMD 0R 0805 Jumper;;;;;;;
4;100;R-EU_R0805;R0805;R3, R7, R11, R13;RESISTOR, European symbol;;;;;;;
1;100µF/50V;CPOL-EUE3.5-8;E3,5-8;C8;POLARIZED CAPACITOR, European symbol;;;;;;;
18;10k;R-EU_R0805;R0805;LEVEL_SHIFTER1:R1, LEVEL_SHIFTER1:R2, LEVEL_SHIFTER2:R1, LEVEL_SHIFTER2:R2, LEVEL_SHIFTER3:R1, LEVEL_SHIFTER3:R2, LEVEL_SHIFTER4:R1, LEVEL_SHIFTER4:R2, LEVEL_SHIFTER5:R1, LEVEL_SHIFTER5:R2, LEVEL_SHIFTER6:R1, LEVEL_SHIFTER6:R2, R1, R2, R6, R10, R12, R14;RESISTOR, European symbol;;;;;;;
12;10µF/50V;C-EUC1210;C1210;ALIM_AUX:C1, ALIM_AUX:C2, ALIM_RPI:C1, ALIM_RPI:C2, C1, C2, C3, C4, C10, C11, C12, C13;CAPACITOR, European symbol;;;;;;;
2;1µF;C-EUC0805;C0805;C14, C15;CAPACITOR, European symbol;;;;;;;
4;220µF/25V;CPOL-EUE3.5-8;E3,5-8;ALIM_AUX:C3, ALIM_RPI:C3, C7, C9;POLARIZED CAPACITOR, European symbol;;;;;;;
5;330;R-EU_R0805;R0805;R4, R5, R8, R9, R15;RESISTOR, European symbol;;;;;;;
2;470;R-EU_R0805;R0805;ALIM_AUX:R1, ALIM_RPI:R1;RESISTOR, European symbol;;;;;;;
2;5MS1S102AM6QES;5MS1S102AM6QES;SPDT_SLIDE_SWITCH;ALIM_AUX:SW1, ALIM_RPI:SW1;;;5MS1S102AM6QES;734-7296;;;;
1;A4988-BREAKOUT;A4988-BREAKOUT;A4988-BREAKOUT;S1;;;;;;;;
1;ADAFRUIT_7-SEGMENT-LED;ADAFRUIT_7-SEGMENT-LED;"0.56LED_BACKPACK""";LED1;;879;;;;;;
6;BSS138;BSS123;SOT23;LEVEL_SHIFTER1:Q1, LEVEL_SHIFTER2:Q1, LEVEL_SHIFTER3:Q1, LEVEL_SHIFTER4:Q1, LEVEL_SHIFTER5:Q1, LEVEL_SHIFTER6:Q1;N-CHANNEL MOS FET;;;;669-7559;;;
1;DIODE_S15P45;DIODE_S15P45;TO-277A;D1;;;;;917-9118;;;
4;DMN2056U;BSS123;SOT23;Q1, Q2, Q3, Q4;N-CHANNEL MOS FET;;;;133-3376;;;
2;DYNAMIXEL-1X03AX;DYNAMIXEL-1X03AX;DYNAMIXEL_AX_1X03;AX12_AR, AX12_AV;;;;;687-8124;687-8124;;688-3283
2;DYNAMIXEL-1X03XL;DYNAMIXEL-1X03XL;DYNAMIXEL_XL_1X03;EXTRA, FUMIGENE;;;;;688-3283;;;
2;JST-03;JST-03;GH-03-V;ENDSTOP, JUMPER;;;;;752-1765;;752-1737;
2;JST-04GH-V;JST-04GH-V;GH-04-V;ENCODEUR_DROIT, ENCODEUR_GAUCHE;;;;;752-1769;;752-1731;
2;JST-05;JST-05;GH-05-V;PHARES_AR, PHARES_AV;;;;;752-1778;;752-1740;
2;JST-08;JST-08;GH-08-V;TOF_AR, TOF_AV;;;;;752-1775;;752-1747;
2;MF-LSMF300;MF-LSMF300;MF-LSMF300;ALIM_AUX:F1, ALIM_RPI:F1;PolySwitch (TM) Resettable Device;;;;817-1652;;;
4;PTR1PAD1-13;PTR1PAD1-13;P1-13;TP1, TP2, TP3, TP4;TEST PIN;;;;;;;
1;PUSH-BUTTON;PUSH-BUTTON;PUSH-BUTTON;U$2;;;;;479-1491;;;
1;RG500;RGEF800;5MM;P1;;;;;817-1680;;;
2;SS56B ;SCHOTTKY-DIODESMD;SMB;ALIM_AUX:D1, ALIM_RPI:D1;Schottky Diode;;;;917-9221;;;
1;TEENSY_3.5_DIL+USB;TEENSY_3.5_DIL+USB;TEENSY_3.5_DIL+USB;TEENSY;;;;;;;;
1;TL36PO;TL36PO;TL3XPO;S3;TINY SWITCH ON - ON;;;;913-9069;;;
2;TSR 1-2450;R-78C5.0-1.0;SIP3;DC1, DC2;INNOLINE DC/DC-Converter 1.0 AMP SIP3 Single Output;;;;666-4379;;;
1;TSR 2-24120;R-78C12-1.0;SIP3;DC4;INNOLINE DC/DC-Converter 1.0 AMP SIP3 Single Output;;;;906-8493;;;
3;TSR 2-2450;R-78C5.0-1.0;SIP3;ALIM_AUX:DC1, ALIM_RPI:DC1, DC3;INNOLINE DC/DC-Converter 1.0 AMP SIP3 Single Output;;;;906-8487;;;
1;WIZ820IO;WIZ820IO;WIZ820;U1;;;;;758-1032;;;
1;XT-60;XT-60;XT-60;LIPO;;;;;;;;
1;blue;LEDSMT1206;1206;LED2;LED;;;;692-1073;;;
2;blue;LEDSMT1206;1206;ALIM_AUX:LED1, ALIM_RPI:LED1;LED;;;;;;;
1;orange;LED3MM;LED3MM;LED5;LED;;;;127-8387;;;
1;orange;LEDSMT1206;1206;LED3;LED;;;;726-9215;;;
1;red;LED3MM;LED3MM;LED4;LED;;;;619-4886;;;
1;red;LEDSMT1206;1206;LED6;LED;;;;;;;
